,Название,Год,Топливо,Объем двигателя,Мощность,Коробка передач,Привод,Цвет,Пробег,Руль,Оценка Drom,Цена
130,Mercedes-Benz GL-Class,2015,бензин,3.0,333.0,АКПП,4WD,черный,110000.0,левый,,3100000
131,Kia Optima,2018,бензин,2.0,150.0,АКПП,передний,белый,150000.0,левый,,1830000
132,Subaru Outback,2016,бензин,2.5,175.0,вариатор,4WD,серый,123986.0,левый,8.9,1800000
133,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,серый,16100.0,левый,8.6,3290000
134,BMW X6,2020,бензин,4.4,625.0,АКПП,4WD,синий,56000.0,левый,,12000000
135,Mercedes-Benz CL-Class,2010,бензин,4.7,435.0,АКПП,задний,черный,165000.0,левый,,2000000
136,Mercedes-Benz S-Class,2022,бензин,3.0,435.0,АКПП,4WD,белый,50.0,левый,,17190000
137,Toyota Camry,2022,бензин,2.5,176.0,автомат,передний,серебристый,40.0,левый,8.8,4050000
138,Porsche Macan,2014,бензин,3.0,340.0,робот,4WD,белый,89000.0,левый,,3149000
139,BMW 3-Series,2019,бензин,2.0,184.0,АКПП,задний,белый,64000.0,левый,8.8,3190000
140,Mercedes-Benz S-Class,2017,бензин,3.0,367.0,АКПП,задний,белый,35600.0,левый,,5990000
141,Lexus RX300,2020,бензин,2.0,238.0,АКПП,4WD,серый,36220.0,левый,8.9,6100000
142,Лада Веста,2022,бензин,1.6,113.0,вариатор,передний,белый,691.0,левый,8.7,1750000
143,Renault Sandero,2010,бензин,1.6,105.0,АКПП,передний,красный,163084.0,левый,8.2,468000
144,Dodge Charger,2021,бензин,3.6,296.0,АКПП,задний,черный,12500.0,левый,8.4,2820000
145,Volkswagen Passat,2020,бензин,2.0,190.0,робот,передний,черный,31000.0,левый,8.6,2550000
146,Mazda Familia,2000,бензин,1.3,85.0,АКПП,передний,белый,260000.0,правый,7.8,185000
147,Mazda Mazda6,2008,бензин,1.8,120.0,механика,передний,черный,172000.0,левый,8.9,500000
148,SsangYong Actyon,2014,бензин,2.0,149.0,АКПП,4WD,красный,107271.0,левый,8.5,1345000
149,BMW X6,2010,дизель,3.0,306.0,АКПП,4WD,бордовый,190000.0,левый,,1600000
150,Volkswagen Polo,2022,бензин,1.6,110.0,АКПП,передний,черный,8000.0,левый,8.6,1950000
151,Kia Sportage,2022,бензин,2.5,190.0,АКПП,4WD,белый,,левый,8.7,3759294
152,Hyundai Solaris,2014,бензин,1.4,,,передний,серебристый,48950.0,левый,8.8,983000
153,Skoda Superb,2016,бензин,2.0,280.0,робот,4WD,белый,158000.0,левый,,2293000
154,Audi A4 allroad quattro,2016,бензин,2.0,249.0,робот,4WD,коричневый,82900.0,левый,8.9,2600000
155,Toyota Prius,2016,бензин,1.8,98.0,вариатор,передний,белый,178000.0,правый,8.8,1350000
156,Лада 2105,1997,бензин,1.5,71.0,механика,задний,зеленый,27000.0,,,68000
157,Honda N-WGN,2016,бензин,0.7,64.0,вариатор,передний,фиолетовый,94000.0,правый,,950000
158,BMW X5,2019,дизель,3.0,400.0,АКПП,4WD,черный,71000.0,левый,,7599000
159,Lexus NX200,2015,бензин,2.0,150.0,вариатор,4WD,черный,137000.0,левый,,2200000
160,Fiat Linea,2008,бензин,1.4,120.0,механика,передний,бордовый,60000.0,левый,8.7,570000
161,Лада Нива Тревел,2023,бензин,1.7,80.0,механика,4WD,,,левый,,1277000
162,Лада Нива Тревел,2023,бензин,1.7,80.0,механика,4WD,,,левый,,1277000
163,Volkswagen Tiguan,2019,дизель,2.0,150.0,робот,4WD,серебристый,150000.0,левый,,2400000
164,Kia Sorento,2012,,2.4,,автомат,,черный,205349.0,левый,8.6,1378000
165,Лада 2110,1999,бензин,1.5,70.0,механика,передний,голубой,29131.0,,7.6,500000
166,Toyota Voxy,2016,бензин,1.8,99.0,вариатор,передний,белый,110000.0,правый,8.9,1630000
167,BMW 5-Series,2008,дизель,2.0,177.0,АКПП,задний,серебристый,215000.0,левый,8.9,870000
168,Honda Mobilio Spike,2003,бензин,1.5,110.0,вариатор,4WD,серебристый,171000.0,правый,8.5,350000
169,Skoda Octavia,2017,бензин,1.8,180.0,робот,передний,бежевый,121000.0,левый,8.8,1650000
170,Toyota Camry,2014,,2.5,,автомат,,черный,234094.0,левый,8.8,1448000
171,Honda Freed Spike,2012,бензин,1.5,88.0,вариатор,передний,белый,57894.0,правый,,1124000
172,Peugeot 4007,2008,бензин,2.4,170.0,вариатор,4WD,голубой,152373.0,левый,8.7,899900
173,Peugeot 308,2012,бензин,1.6,120.0,АКПП,передний,белый,180639.0,левый,8.4,654900
174,BMW X3,2020,дизель,3.0,249.0,АКПП,4WD,черный,55500.0,левый,,5100000
175,Suzuki Jimny Wide,1998,бензин,1.3,85.0,АКПП,4WD,серый,130000.0,правый,7.8,349000
176,Volkswagen Caddy,2007,бензин,1.6,102.0,механика,передний,серебристый,345000.0,левый,8.4,330000
177,Volkswagen Multivan,2013,дизель,2.0,140.0,робот,передний,черный,198000.0,левый,8.8,2100000
178,Volvo XC60,2011,бензин,2.0,203.0,робот,передний,коричневый,198700.0,левый,,960000
179,Honda Vezel,2015,бензин,1.5,132.0,робот,передний,синий,89000.0,правый,,1670000
180,Лада Гранта,2012,бензин,1.6,82.0,механика,передний,серебристый,260000.0,левый,8.1,215000
181,Land Rover Range Rover Sport,2014,дизель,3.0,249.0,АКПП,4WD,,173000.0,левый,,2650000
182,Renault Megane,2013,бензин,2.0,250.0,механика,передний,черный,160000.0,левый,8.3,1200000
183,Kia Ceed,2008,бензин,2.0,143.0,АКПП,передний,голубой,224564.0,левый,8.8,570000
184,Лада 2101,1986,бензин,1.3,64.0,механика,задний,бежевый,100000.0,левый,7.5,60000
185,Audi RS Q8,2022,бензин,4.0,600.0,АКПП,4WD,серебристый,,левый,,24000000
186,Audi Q5 Sportback,2022,дизель,2.0,204.0,автомат,4WD,белый,,левый,,8012640
